,question,label
4624,do you recommend anything from udemy ? ,DIRECT
786,can you link an article post you ve find on the topic and explain what you find confusing about it ? ,DIRECT
6242,how big be it ? ,DIRECT
1597,do a model learn from prediction ? or only from train my thinking be no cause the model still do not know if the prediction be right it can not base and predict in the ffuture on something it be not sure about but think I would ask to confirm ,DIRECT
2729,  also do you even encapsulate it as a string ? ,DIRECT
5923,I still think the idea from yesterday about have a presentation event be a good idea even if a presentation be a bit more effort than most of we be willing to stretch to right now instead what about a favourite paper discussion ? people propose a paper that they really care about understand and a few people be in the voice channel to talk about how it work the impact of it ,DIRECT
5659,how about do something use a kaggle dataset ? ,DIRECT
6058,  what s with you and mwe ? ,DIRECT
6610,can someone help I ? why it say error ? I m try to add the folder path of test to the variabel and I copy the folder path from the left and paste it but when I try to run it it say folder do not exist ? ,DIRECT
6706,do dimension in data warehouse have to have concept hierarchy ? ,DIRECT
4937,how do you guy version your code if your do etl eda ? ,DIRECT
6326,ok could you find one ? ,DIRECT
4989,do you think I should work on make a model for fake news classification host the model and make a chrome plugin ? when the user visit a site he get a feedback if its fake or not ? ,DIRECT
1918,next thing could not think of something run on that phone you would need a high image resolution and quality therefore it would be like 20 time more input data than most current use model that cascade into more and more parameter deep network and all that stuff x 300x 300x300 be the currently most use resolution in this case just an assumption next interesting thing white balance there be no real perfect white balance method you could use a grey card that would be the most reliable but therefore everyone own the app would need a grey card which have right from production the same color as the one the camera of the training get calibrate on next thing brightness in every spot in the world be a little bit different brightness sure you would not need to be that specific but you would need a spot where your skin got the perfect light why all this ? if you want to do it as diagnosis it must be accurate cause if something go wrong etc everyone will go ahh bad ai stupid stuff and you as the dev go to get some problem ,DIRECT
2239,I have have good result with case where I tune a large model on a much few image than you have maybe you have something wrong with your training ? try lower the learning rate as a starter ,DIRECT
371,what s stop you from fetch data from s3 ? ,DIRECT
4256,what be your field of interest ? ,DIRECT
1733,where s your question ? ,DIRECT
5990,this be just for personal use to use something other than excel for account value track so I be open to it be less optimal than something I would present in a work set think I could make it work with separate csv s one per account and maybe just make button input ? ,DIRECT
5578,hey do anyone have any resource for data management ? ,DIRECT
100,ffi have two option I can either go to an average university or go to a university rank top 300 in the world know as the good engineering university in my country if I go get m degree at the top 300 one it will take I an extra year to achieve the bachelor because I will have to do some extra stuff for grade or I can do the average uni in 3 year what would u chose ? help I choose please ,DIRECT
355,also generally for research role be not master or phd student prefer ? ,DIRECT
1135,I just start learn how nn work and I try to fine tune my nn I use mnist fashion dataset and I get only 90 val accuracy which be nothing it be tune for 2 hour my code on screenshot but I use next number to fine tune learning rate what s wrong ? ,DIRECT
2648,if I name my course the complete data science course and machine learning show my course outline by use big word like svm k mean and have high rating how would you know it js legit without have access to check the video content yourself ? ,DIRECT
2978,hello guy someone can reccomend some course on coursera to get easly in job stage in data analytic ? I have stat background but cheap coding and tool ,DIRECT
660,it depend on what you re look at since those be use for classifier what algorithm be give you this issue ? be you do classification ? ,DIRECT
3001,what do you mean ? ,DIRECT
2797,have any of you guy find when work with neural network time series that scale the target variable drastically help ? ,DIRECT
1099,  what method of regularization do you use the most often in dl ? like l1 l2 reg monte carlo reg max norm and so forth ? ,DIRECT
3730,hi guy recently I get a rej except the bs ab test part what should I do to strengthen my ml background for interview ? be read a book such as prml or esl enough ? ,DIRECT
668,why do you expect it to be small ? ,DIRECT
3381,can you link say example ? ,DIRECT
5270,how do py and r compare with matlab ? ,DIRECT
113,if I make a dontasktoask bot and it work can it be implimente here ? I m find out that my main interested be nlp so my first big project be probably go to be this ,DIRECT
4792,get it so the auto correlation die quickly simply mean that the price within the same sector can not trend in one direction for too long ? ,DIRECT
2904,I see what beginner resource you recommend then before ug ? ,DIRECT
2912,where should I find the resource for it ? coursera ? book ? or you mean degree ? ,DIRECT
2043,thx one more question any udemy class u recommend ? ,DIRECT
3292,so you have a job description and you re ask we without any context ? how be that reasonable ? ,DIRECT
693,I get what you mean but what answer couldn t be instantly google ? if someone ask a question along the line of reference a particular analyst role and question what might be expect for it that d be different I m happy to hear suggestion though ,DIRECT
1426,do company send test link to everyone or to selective ppl ? ,DIRECT
1943,okay this isn t really followable at all it look like ramble if you want to write out expression try latex or rewrite thing a bit because immediately you introduce term without balance what be ppt and ppm ? and 0 be obviously not 109 so you have mess up somewhere probably on your way to state sqrt sin ppt 1ppm ,DIRECT
3868,nah I mean what s the objective of type inference ? be you read from a csv be it to improve a model by select more appropriate type ? ,DIRECT
2332,have anyone ever use dtale or can recommend something similar that be a gui to analysis on a panda data frame ? I m try dtale to make histogram bar graph of the count of each string in a column but I m have issue with it ,DIRECT
83,from 6 variable base on patient admission unitid patientid admission date discharge date admission time and discharge time how can I calculate the number of bed ? ,DIRECT
814,I also know letter of recommendation internship project and research but what be the few dealbreaker for a great university if I don t have for a master s resume ? ,DIRECT
2900,do you think hand on machine learning be good for starter ? ,DIRECT
5860,I think the take home be frequently easy to cheat the main issue be that take home usually have a high expectation of time spend and the company be unaware of the actual time people spend like if you believe you re a good candidate but not a strong one and the interviewer ask how much time you actually spend be you really go to be honest ? ,DIRECT
4978,hey guy I have a question I have a dataset with all discrete data for example I have one attribute call speed limit with domain 90 and value another attribute with domain 3 I try both multinomial and gaussian model to classify they and its not very accurate what type of machine learning algorithm can I use ? ,DIRECT
5073,hello all be there any hard and fast rule for open source contribution ? ,DIRECT
3418,but what if the independent and dependent variable do not actually have a correlation ? I feel like make that assumption could be an issue at some point ,DIRECT
2966,I see at this point I don t think go back to school be feasible for I due to visa and personal situation I want to do something about this while retain my job do you have any suggestion ? ,DIRECT
2276,hello I m a newcomer in this field as I just join college for data science so where should I start ? ,DIRECT
1419,how do I start build my first model ? ,DIRECT
2504,hi all I don t know where to ask this but do anyone use apache spark ? I have probably spend 2 day try to download this on virtual box on my own machine and even try use databrick but each method be prove to be a stretch to download have anyone instal this on their own computer window recently ? ,DIRECT
5266,I mean like a 3d environment as in a game I originally wonder if I could make an env in unity which would run without display to make it fast then to use an api to allow the agent to send command and also to get an image of the env render from the agent s perspective could this be do in matlab ? ,DIRECT
2878,a more personal question but how do I know if I actually like computer science ? I m quite interested in it and never procrastinate so far but I m afraid I might stop the enthusiasm when a tough topic appear ,DIRECT
3458,what I don t understand be how exactly I m suppose to put that there be I to put the image matrix and calculate the product ? ,DIRECT
1722,how long do it take for you guy to become a data scientist ? ,DIRECT
5631,I have not start at all atm I m in my 2nd yr of college and we just finish our stat content and decide to do a little project for the first time I want my topic to be cs relate like nothing over the top but I just dk what I should investigate I be think mean amount of line code in a give 1 hour period and compare a2 vs as but I mean the outcome would be pretty obvious ? ,DIRECT
6509,why do you say that ? ,DIRECT
6619,  no error just lack of knowledge I m try to understand this scenario assume you have a cluster with 4 node initially the 4 sentence be distribute onto the 4 node each sentence on a node how to count each word in the file use terminal ? ,DIRECT
2844,I can speak for the medical domain but you can probably extend this to business let s say we want to know how the placement of a stent will impact patient outcome the first question be what kind of data do we need ? what do we define as the outcome what be relevant variable and confounder how many subject do we need what kind of distribution of subject do we need etc so you get the data you plug it into a model and get some result if you be interested in explain what happen you might use linear regression and then analyize the data use statistic to determine what variable be important and how they impact the outcome if you want prediction you might train a neural network and then see if your prediction be any good under what condition and what be the goodness of fit etc again use statistical measurement and test ,DIRECT
3574,do anyone care about gpa anymore ? I d personally remove that ,DIRECT
1512,and I wonder if I start learn those skill now by next september even without a degree will I have any chance that I will be able to get an entry level job in ds ? ,DIRECT
6568,what be this linux base ? gpus don t have operating system ,DIRECT
5554,why would this need dl to predict though ? ,DIRECT
6553,be you sure those be percent ? what be your output ? ,DIRECT
1536,  what do you think about this curriculum ? ,DIRECT
4357,probably depend on what the startup want to track how be they fund ? be they sell product or service ? what be their business model ? ,DIRECT
232,be anyone here an encryption or authentication expert ? I m curious about like the future of image or content share how reliable be tag content make by genai so that people can track if its a genai image or whatnot ,DIRECT
1021,I didn t understand you here why be that ? ,DIRECT
5125,I be do ks test between 2 sample and get p value of 1 even though they be very different from each other I be use stat ks 2samp library and sample be of different length and they be around value in each sample why be I get a high p value ? ,DIRECT
2434,how many label do you have in your x axis ? ,DIRECT
2355,so it sound like there be non parametric model that account for thing like seasonality trend etc it would seem you can apply thing like prophet to get a relatively accurate model ? but also that seem sus ,DIRECT
2469,do anyone know why I get a different result from an sql query in a databrick notebook every time ? ,DIRECT
5824,bit of devil advocate here but wouldn t you agree that in many circumstance its a waste of resource and or an ethical dilemma to collect too many sample ? example animal experiment share resource amongst many project drug discovery for control of an active disease yeah I know you probably want well than p for vaccine efficacy use inferential stat but in that regard once you have set your criterion for significance why collect a big sample ? ,DIRECT
3198,do you guy pay for read material if so ? what be they ? ,DIRECT
1101,any suggestion for my resume ? the cropped part be basically private data like name phone email should I transform the project description into bullet point instead to make it less wordy ? I m apply for junior data scientist role only have experience from my internship and not exactly data relate either it s a app developer mainly product management and mobile app engineer ,DIRECT
4736,can it it run locally ? ,DIRECT
344,sv member ? ,DIRECT
6130,be there an easy way to calculate distance from hospital ? I guess I could do some map api ? ,DIRECT
5865,do anyone know where I can get access to historical gas price by state start from at least ? ,DIRECT
592,it s a bit of a wild q though it s like say I m stand 5 m from my friend how do I work out how far I be from paris ? ,DIRECT
3258,  isnull sum why it can count boolean value ? ,DIRECT
1430,do hft use rust a lot ? ,DIRECT
2975,okay so under what condition would that be valid python ? ,DIRECT
31,guy can I become a data scientist or an ml engineer with bad grade at school but I just start study high mathematic so far I ve only study linear algebra do I have a chance ? or should we change direction ? ,DIRECT
2654,idk what s your lung capacity ? ,DIRECT
5465,how many row do you have ? ,DIRECT
4345,what I want to know be how can I show purpose ? ,DIRECT
1458,can t you ask the person who refer you ? ,DIRECT
1885,do data scientist need dsa ? ,DIRECT
6346,what neuro stuff do you do ? ,DIRECT
531,do anyone know where I can find an in depth guide to use sklearn s pipeline api ? there be some nuance I be try to work out ,DIRECT
351,hey everyone I just start study data analytic by myself would you recommend to start with google data analyst certification as a first course to gain a solid base ? any recommendation ? thank you ,DIRECT
4488,question hypothetically could alphafold help predict other thing than protein structure ? ,DIRECT
6618,it s normal I ve see a lot of people like that when they re just come out of their master it s a very important skill that you should practice just sit in front of your jupyter notebook with your csv load in panda or numpy and try to come up with 10 interesting question about the dataset at the start they should be very broad what s in the data ? what do it represent ? what do the column mean ? how be it collect from whom ? how be the value in the column distribute ? then as you gain a well understanding of the basic you can start ask sharp and sharp question what be the mode of my population ? do this sub population behave differently with regard to this attribute ? ,DIRECT
943,how can I start perform object detection ? for example I do not even know how to create a train and test set there be ton of garbage information that do not mean anything everything be abstract somewhere there be information that I need to convert the coco format to a tf record on another site I find that this be optional where can I find a normal guide on how to get train test val data to convert coco to tfrecord ? I want to perform tensorflow object detection ,DIRECT
5021,I graduate with an ms in statistic officially date for may actual completion august I also complete an internship in may I have be look for data science and relate position for my first post graduate position since then and be get concerned about have a gap I m have friend and family suggest I take thing like actuarial exam just to make I look like my time have be busy etc if I be to do exam or certification I d want it more focused in my data science skill or gap in my skill do anyone have thought ? ,DIRECT
1170,I think a part of the issue be understand the logic too here appreciate the assistance so in the case where we have a constant function we can choose any delta above 0 and hit the mark ? ,DIRECT
1658,what be the problem then ? ,DIRECT
6404,how can I make this code work ? py df pd dataframe for I in range 5 df test I I want df test to contain number 4 ,DIRECT
4565,ci be pass do that mean it s bangin ? ,DIRECT
6109,  can you please guide I how do I start the collaboration on open source ? thank in advance ,DIRECT
2984,be anyone interested in purchase sharing leetcode educative premium ? ,DIRECT
3489,hi everyone I have a silly question our company business head want to do an a b experiment with revenue as the key metric what would be a good metric to choose with respect to this ? also what statistical test should we be use ? we currently calculate revenue by multiply number of subscriber with the ltv ,DIRECT
1664,so each time copy paste the code in here ? ,DIRECT
5689,happy to say I refactore the nlp model dataset and purposefully have equal number of each classification in the sample look to be perform well at 70 accuracy between two category any way to check p value ? ,DIRECT
3651,search accessibility can vary and enable they to be rank no ? ,DIRECT
2151,you probably need to add more context what be you try to do ? the error be self explanatory there be no predict method for selectkb object ,DIRECT
3844,what do you mean by stagnant ? ,DIRECT
6170,I just enrol in coursera s ibm data science specialization almost out of whim cuz I get bored and want something to do anyone ever hear or take that program before ? ,DIRECT
4692,can we perform hyperparameter tune on swarm optimization like ant colony ? ,DIRECT
3996,I love this discord do anyone know any other good active data science machine learn I can post question as well ? ,DIRECT
3003,hi guy be anyone familiar with customer churn prediction model use python ? I might have to do one for my marketing course I read some tutorial online but I still have some question ,DIRECT
5039,what be the issue in the end ? luck ? ,DIRECT
5382,can the average person understand make change and use this ? ,DIRECT
2122,hi I have to ask my job to give I pycharm cuz I connect to a remote computer without the internet do I need they to get I separate software for panda ? ,DIRECT
6286,anyone implement fp growth in here ? how do you set the good support and confidence score ? ,DIRECT
87,why don t you start with the basic of how the model work the assumption behind they how to check they and so on ? that would be a good starting point as well ,DIRECT
6403,  what s the roundabout ? ,DIRECT
1437,guy I have the task to predict true or false so I use logistic regression and it s rmse be but linear regression rmse be this be classification task where I predict 1 or 0 but why simple linear regression be well ? I don t understand ,DIRECT
3813,do the mean make sense for a categorical ? ,DIRECT
750,how will you have they showcase their skill in an interview ? ,DIRECT
4214,I ve have good experience with bcpanda but if you have csv source maybe you can just use bulk insert ? ,DIRECT
6638,be there where people buy limited and resell they ? ,DIRECT
631,hi all anyone have any advice for a case study interview ? first time ever do this for an internship main focus be suppose to be on data analysis ,DIRECT
1395,what s your machine username ? ,DIRECT
287,I can t make it much long because I don t have all that much time to wait imagine if I be have to do this for a real job they certainly wouldn t be that patient and what if it encounter some problem with a random page partway through and I have to do the whole thing over again ? ,DIRECT
804,idk what a poor diff tool would be something that isn t git ? I ve only actually use git for version control tho there s diff the cli app as well ,DIRECT
4319,in respect to what something like rich ? ,DIRECT
6396,while go through some blog I have an idea of an easy content recommendation engine plugin to your website to improve user retention for the owner of the website basically if your reader be on your website read a particular article this plugin window would show the most relate article your own content to the one the user be read now on the left hand side or near the end to increase the chance of the user stay like how someone would add a chatbot or a comment window and stuff would something like this be any use to anyone ? I know ml so I can build it pretty quick ,DIRECT
5650,what do you mean ? within a vulnerability prediction model ? ,DIRECT
4326,do you have any suggestion ? basically I be try to use it a bit blindly in a circumstance where pca be also appropriate ,DIRECT
3854,kind of an interesting way to think about it these be almost like efficiency score as I adjust the parameter of my model my classification threshold etc how many more good thing do I get per bad thing ? ,DIRECT
915,why not take a bachelor ? ,DIRECT
1653,can I copy that code and run it in my own environment and get the same result ? ,DIRECT
5896,so I be work on a foot measurement system basically it need to calculate length and width of the foot by use picture of it any idea how to get start ? ,DIRECT
186,so you be write data to the input channel ? get a handle to the game input and then use ipc to control the game ,DIRECT
4377,be wonder if someone do ds ml in industry could help I out a bit since I m feel rather disillusioned I ve be work a data analytic engineer role for about 1 year and I m not sure if it s just that my experience have jade I or if this be the general rule but do you guy actually end up do any work for customer ? all of my work be internal provide useful analytic for the company and I m the only person do this but whenever I hear about a lead from sale I just wonder how the hell be I suppose to actually help this customer out I guess my question be do any of you guy simultaneously do internal and external work and if so how do you manage to take a customer lead from first meeting to deliver result ? ,DIRECT
2552,hi didn t see in the rule that this wasn t allow to ask so do anyone have a pdf of hand on machine learn with scikit learn kera and tensorflow third edition that they re willing to share with I ? I have look around already but specifically wasn t able to find the third edition I have it hardcopy which isn t too practical sometimes ,DIRECT
6565,do you recommend apple mac pro ? ,DIRECT
5522,be this something you only need to apply one time on a fix set of sentence ? or do this need to apply to new data as well ? ,DIRECT
5717,do you consult ? ,DIRECT
203,so what should I focus more on then ? ,DIRECT
5432,I m glad I have find this server because I don t know anyone who like to work with data for fun and as a hobby I like look at the data for game I play currently I m give the opportunity to have a bunch of data on a weekly basis but unsure on how to make it presentable I have the quantity of rank player earning their respected reward for a weekly event would anyone mind help I with visualize data ? ,DIRECT
3788,do you think kaggle competition be good for this ? ,DIRECT
3193,work be work I ve do construction food retail and for the past 4 year have be work in it tech so really it s a genuine question of what do I do next ? ,DIRECT
4713,hi everyone I m a young graduate master data engineer with a bit of data science I m look for a job but I haven t find anything and all the offer I receive be not interesting to I I m look for an effective way to show my skill to my future recruiter do anyone have an idea of what could please hr and manager in general that could prove my skill and my interest in the job ? thank you very much ,DIRECT
3981,hey you all how similar different be the coursera course on deep learning from deep learning ai like the deep learning specialization from what you would get if you be in college focus on machine learning ? ,DIRECT
723,if you don t mind I ask what do you study as a bachelor ? I m about to finish my degree in cognitive science but I recently find a passion for data science and I m pray a good program will take I lol also congrat on the internship ,DIRECT
5364,what do you look at first ? ,DIRECT
4151,  and how would you use a target encoder if you plan on use it with cross validation ? I mean you shouldn t be allow to send your encode set to the cv ,DIRECT
3511,where can I find video talk for more advanced application of ai ? ,DIRECT
4879,what have you try ? ,DIRECT
2570,would any of you know of any software design architecture course or resource ? ,DIRECT
370,I m scrape this table from a site and vscode just tell I that apparently the letter m in model one of the column in the table I m scrape be write with a capital mu of the greek alphabet instead of the capital m of the latin ? ,DIRECT
931,  my query be run slow why ? ,DIRECT
1928,depend what would you use orm for ? ,DIRECT
189,can you read the framebuffer from the operating system ? ,DIRECT
2141,where do you find that demo ? I doubt it s the huggingface one right ? I m not totally sure but I think the one in huggingface be extremely censor ,DIRECT
1666,can it be because I have missing date in like maybe I have only day for that year ? ,DIRECT
2337,the thing be inference use huggingface s pipeline method take 36 second on my poor mobile be there any other way I could speed up inference ? ,DIRECT
3918,what do you do now ? ,DIRECT
793,not sure if this be the right channel for this but do anyone want to do an online datathon ? ,DIRECT
4215,pre screen bias ? survivorship bias ? non response bias ? to be honest I m not exactly what you re refer to can you maybe rephrase ? ,DIRECT
5512,I m lose what assignment be you talk about ? ,DIRECT
993,yea we do ? ,DIRECT
5442,or actually can t you just give it a blank picture with the dog shape and let it determine the shape and it s do ? shape of head ear eye and mouth 5 picture at most ,DIRECT
6614,what do you think et ? ,DIRECT
5713,which one through employer ? ,DIRECT
3571,what be those three course ? ,DIRECT
3269,what re you build ? ,DIRECT
839,hey guy I need some help I m try to work on some etl data analysis project on aw or gcp or azure but they all seem to be ask for credit card info be there any way to avoid credit card info or any other technology that be free and available for I to work on ? ,DIRECT
1007,so I be go to do an ordinal regression and subgroup analysis and my covariate and dependent variable be ordinal in numeric format should I rename like bmi to character ? like 1 obese ,DIRECT
1261,I m curious what your version of likelihood function be like since I don t really get it I m kinda noob like how would use the quantile function as the likelihood function ? ,DIRECT
4556,what casual project be you all work on ? I feel a little weird work on non ml project in my offtime so it d be good to know if that s all that common ,DIRECT
461,what do you mean ? ,DIRECT
6705,  what part be you struggle with ? ,DIRECT
1142,I be get excellant roc aoc like 99 on cross validation set but it drip 88 on test data any suggestions???plz help I I don t know if this be the right place to ask dbt coz its my 1st time plz don t ban I coz I be new to discord plz ,DIRECT
407,good viz of what ? ,DIRECT
5961,which now lead I to the first problem where be I normally suppose to find data ? ,DIRECT
4382,the only thing I can think of be that maybe if someone be attractive they might think it could swing something ? I really don t know though or maybe it s the sign of an outgoing personable person and I m a cunt tricky ,DIRECT
5572,what s your internal ? ,DIRECT
3869,can you name a few of this method please ? ,DIRECT
842,what do you mean by algorithm ? ,DIRECT
1036,what s the input ? ,DIRECT
6031,or do the extra epoch here hold some type of value ? ,DIRECT
2567,what do you think ? ,DIRECT
3074,good morning do anyone know how to solve this error I m get or why ? ,DIRECT
3169,in what kind of project would you need tor ? ,DIRECT
4951,sure sound good but think maybe my context wasn t enough basically they themselves don t have a clear question in mind and so I be plan on help they identify kpi s and other metric and will get stick into there data to find thing that hopefully ultimately help they optimise and improve on these kpi s during this process I will need a good way of not only document my data and the story say through something like jupyter notebook but be able to then share the end result whether in the end the analysis lead to I create an dashboard graph through a bi tool such as powerbi which can then be share easily for there consumption or create say a standalone document such as pdf in both scenario be there a good practice way to upload the separate analysis piece such that they can have easy intuitive access and consumption of the information ? say I use pdfs which contain the business question analysis etc be there a location where people tend to put this so that it be accessible by business executive etc who want to read it ? product manager say shouldn t really have executive have to go through github page etc search for it so be wonder whether anyone have suggestion or good practice they use or know of ? for interactive dashboard visual they want to view in order to keep track of kpi s etc I feel be fine to be create share over bi tool like powerbi however then for analysis that s do in python not 100 sure whether its worth have those graph data display into powerbi or if this be common practice or frown upon etc ? apology though think context at this point be still fairly limited so kind of hard to fully describe put across situation but this be sort of along the line of my current thought process ,DIRECT
6494,how can I publish my r markdown file on github website ? ,DIRECT
2260,  context I have a panda dataframe represent daily open close high low volume for various stock I ve add some additional column of value I compute use non panda code do something like df other pd series other data problem I want to slice off a bunch of the early row in the dataframe for reason but now when I add the additional column the auto create index for the new series aren t match up and all the remain row in the dataframe end up get the fill value for that column it seem like I shouldn t have to compute index just to add a value to all the exist row question how do I add a column to a dataframe and just have it match the row positionally rather than by index ? ,DIRECT
436,thank you bro also last question do you know a place I can see what math code or etc I could learn that would be helpful ? ,DIRECT
5075,anyone know where I can find some data about online course and or service like coursea edx and so on ? I m look for thing like demographic information what course be take be they finish and student review tbh idk if this be publicly accessible ,DIRECT
3333,also what would you think that s a sample of ? a sample be usually a subset of a population and often method might assume a random sample but if you have people that be answer survey for a business what s the population ? it s not a simple random sample of the town country whatever just something to be mindful of ,DIRECT
6331,any other book that teach the math need to start to learn data science use python or no language ? ,DIRECT
6401,if pca be not workout for u u can try tsne ? ,DIRECT
1386,no one here ever have this problem ? ,DIRECT
5152,anyone here use a m1 mac for python and or r ? and vscode ? think about make the switch eventually ,DIRECT
2369,should you standardize one hot encode feature if you standardize all your other feature ? specifically ask about standardize mean 0 std 1 not normalize I think you should but for some reason I couldn t find any confirmation on google ,DIRECT
4586,specifically what about python ? ,DIRECT
5652,do we win ? ,DIRECT
5194,do you know java ? ,DIRECT
1526,guy why do I have such a small difference for some instance 4k 9k but for other I have 76k ? ,DIRECT
4958,I m deal with the issue of not get my df fit into the model the error I get after run model fit df be keyerror metric file can someone help I out here ? thank ,DIRECT
2920,do we have like a helper role of sort ? ,DIRECT
3702,you start to go into question like I want to know where my model fail it fail here what be common to these failure how do I specifically get feature that help learn these failure ? ,DIRECT
537,I ve complete a bachelor s degree in apply stat and I now want to major in the data science field I have two question who have the good roadmap I can follow ? which data science certification be the good that I can enroll in ? and I mean one which be recognise worldwide and have hand on project ,DIRECT
3268,I have a datacamp coupon anyone who didn t have subscribe it can use it to redeem this offer have they use their unique coupon code deccert mgmhdtroqp 22 on a learn premium monthly subscription or have they checkout use their unique url coupon be valid for new datacamp premium subscriber only and expire january 31 at pm est no spam clickbait ,DIRECT
946,guy any nice resource for text mining ? or nlp I need to study it ,DIRECT
5293,  the result on dataset a look great can you email some person you never meet in another department and ask they to give you access to dataset b ? it would be great to have the same output for that data by our meeting with the ceo next month ,DIRECT
3307,what s unclear from what you find on google ? ,DIRECT
5600,do anyone have a suggestion on how I should approach data analysis ? I want to be able to do more than just parrot panda and seaborn method on a notebook ,DIRECT
1616,for experience replay I have create a memory deque that will store the late step experience the replay be call after every 5 episode it randomly pick 32 experience batch size from the memory and update the model accord to that also for the target model which our learning model be follow get update per 100 episode which can be tune for well result be there any other approach for this ? ,DIRECT
5420,okay I read about law of large number really thank you for your answer I m beginner and sometimes I have problem with understand a phenomenon can you recommend a source with predicative analysis information ? ,DIRECT
1415,congrat what program ? ,DIRECT
4907,how do you use gpu use gensim ? could you elaborate ? ,DIRECT
5147,I be work on a project where I need to predict item price base on 23 different feature I have do eda and what I understand from there be 1 I have a feature with 20 data as nan 2 that feature be continuous 3 that be not normally distribute now I have 2 categorical feature in my mind to compare with my continuos feature which have nan value and if I get any one of these then I will fill nan value with some condition from categorical feature which have relationship with my continuos feature now how do I know that either of two categorical feature be have some impact on my continuous variable now here I be think of mann whitney u test which non parametric test for t test now how do I interpret p value give by test ? and in this case what will be null hypothesis ? ,DIRECT
2083,how will it be use ? ,DIRECT
1581,what about for unstructured text ? ,DIRECT
2681,hi I have a question about transfer learning be pre training of an architecture neural network a part of the whole transfer learning process or be the concept apply after the pre training ? ,DIRECT
4672,could you tell I a bit more about this ? I m not sure I understand well what you propose I think I be a bit of an amateur in this field still ,DIRECT
3296,hey guy hope everyone be do well I want to open a small discussion regard transition profession from an accountant to data scientist my question be be it easy to change your profession from an accountant with 30 year of experience into data science ? what be the difficulty ? be there a position in data science where you do not learn programming language and instead use the skill of bookkeeping experience into this field ? ,DIRECT
2031,so you re try to do instruction tuning ? ,DIRECT
4311,any idea how to run a query that return two independently query count ? I want a count that count user one way and another count that count user a different way and I want both of they in one query with both value pop out at the end possible ? ,DIRECT
261,haven t full job be take already ? I ve see restructure in a fair few statement around redundancy and know place have be introduce gpt etc into the workplace more formally so while know one explicitly be replace by a prompt afaik I wonder if there s be some job loss effect already I don t know though and I have no idea how to measure it ,DIRECT
1689,hey everyone I m currently a data quality engineer in healthcare sector look to transform to data science in healthcare on the research side of thing be anyone here on the same path or have any suggestion for I ? I have start study biostatistic on the side fairly regularly and look to study how stat and ds coincide with research ,DIRECT
5657,do anyone have a data science project idea about artificial intelligence ? I ve be try to think of one but I can t get my head around it ,DIRECT
81,anyone know a mid level fast r crash course ? I ve get c among other language skill I d consider intermediate to expert consider the use case library kernel etc get a new job and wanna pick up r fast ,DIRECT
3623,as in just do the calculation manually ? ,DIRECT
6217,can anyone here recommend a good intro python course ? my friend have pretty little python experience but want to learn how to code in python ,DIRECT
1770,I mean pretty regularly why ? ,DIRECT
5422,where do jupyter lab remember which notebook to open up on a new session ? because I don t want it to and it s annoying I delete all ipynbcheckpoint thing and it still open up with a few notebook I m not interested in ,DIRECT
4075,can anyone clarify my doubt that whether the offline handwritten recognition ohr and optical character recognition ocr the same ? ,DIRECT
1353,how much ? I mean I would just suggest to work in python forever manipulate your csv file with python and not excel connect to your sql database with python and query with python clean the data with python mine the data and webscrape with python just do it all on python then when u get good you will not care if you have to use it or not anymore there s no real how much answer it could be 100 python truthfully or you can get away with 0 python just depend on what the team need like maybe they want report daily so you automate they or you automate some cleaning task that you do everyday so just plug and play the new csv and boom clean just depend on you ,DIRECT
1473,do you know how to host your own postgre table ? you can also sign up for a 30 day snowflake trial and play with that platform to learn more ,DIRECT
2196,be anyone work with nixtla at all ? I m still use prophet fairly regularly but I d be tempt to move across to esrnn if it s reliable as it smash the m4 competition a while back ,DIRECT
2101,I have a question that might be a dumb question so dumb that I can t find an answer online sql question be the name inner select and outer select in the context of subquerie reserve for query that be around select statement ? ,DIRECT
4098,bit of an odd one guy but have anyone try log into github through vscode on a corporate machine ? I get a proxy authentication error which be prevent I from access certain extension ,DIRECT
3185,good evening guy I m study computer science at college next month I ll start basic of data science just a question what do you need to learn to become a data scientist ? for example software developer know a programming language data structure etc for data scientist ? ,DIRECT
2623,get it thank I be just wonder whether anyone have any knowledge about how shap value might have difficulty in setting with highly dependent variable just want to clarify my understanding and if someone know something then please do bite 1 from what I gather the issue be in the step where shap sample from the conditional distribution conditional on hold the subset from the current iteration static and this cause issue when there be dependence in the feature because it essentially chose sample that be out of distribution ? and if 1 be correct then 2 can t we use something like ica prior to model fit shap to solve this issue ? ,DIRECT
3172,do you seriously think that be something I hadn t consider ? ,DIRECT
4991,yeah know some basic networking or whatever to mitigate a lot of this might be helpful ? it s not something I know about though personally be interested to know what step other take there might be some reasonable heuristic that catch most common error or whatever ,DIRECT
5438,  you might want to try to use conda or mamba to manage your package they take care of non pip dependency too like any c library ,DIRECT
4000,I want to plot a scatter plot with the drop down as specie in r the dropdown should have the species setosa versicolor and virginica and by select one the plot should change can someone suggest I here ? ,DIRECT
5405,anyone ever have this ? I press return enter and get this stupid m char instead of it just run the command ,DIRECT
3247,might it be stick ? ,DIRECT
5417,yes my data set have a time series what you purpose ? ,DIRECT
